Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ClockSpeed,DisplayType
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.79kg,51200.0,2.5GHz,
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,95200.0,2.7GHz,Full HD
HP,ProBook 450,Notebook,15.6,1366x768,Intel Core i7 8550U,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1kg,78500.0,1.8GHz,IPS Panel Full HD
Acer,Aspire 5,Notebook,15.6,1366x768,AMD A12 Series 9720P,8GB,256GB SSD,AMD Radeon RX 540,Windows 10,2.2kg,57300.0,2.7GHz,
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,25400.0,1.1GHz,
Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5 7200U,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.23kg,47800.0,2.5GHz,
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,91300.0,2.7GHz,Full HD
HP,Elitebook 820,Ultrabook,12.5,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.26kg,116100.0,2.7GHz,Full HD
Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7 7700HQ,32GB,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,229600.0,2.8GHz,4K Ultra HD / Touchscreen
MSI,GL72M 7REX,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,104300.0,2.8GHz,Full HD
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,82000.0,2.5GHz,IPS Panel Full HD
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,1920x1080,Intel Core i7 7500U,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10,2kg,116100.0,2.7GHz,Full HD
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.85kg,39100.0,2GHz,Full HD
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,86900.0,2.8GHz,Full HD
HP,EliteBook 840,Notebook,14.0,1920x1080,Intel Core i5 7300U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.48kg,110300.0,2.6GHz,Full HD
Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,1.9kg,91300.0,1.6GHz,IPS Panel Full HD
HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,99500.0,2.5GHz,Full HD
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,4GB,1TB HDD,Intel HD Graphics 500,Linux,2kg,23800.0,1.1GHz,
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2kg,99400.0,1.6GHz,Full HD
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,4GB,500GB HDD,Intel HD Graphics,Linux,2.2kg,23800.0,1.6GHz,
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,AMD A12 Series 9720P,12GB,2TB HDD,AMD Radeon 530,Windows 10,2.2kg,78200.0,3.6GHz,Full HD
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i3 7100U,8GB,1TB HDD,Nvidia GeForce 930MX ,Windows 10,2.1kg,62300.0,2.4GHz,IPS Panel Full HD
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,Intel Core i7 8550U,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,182600.0,1.8GHz,IPS Panel 4K Ultra HD / Touchscreen
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,137400.0,1.8GHz,Full HD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4kg,98200.0,2.8GHz,IPS Panel Full HD
HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.44kg,24300.0,1.6GHz,
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U,16GB,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,139800.0,1.9GHz,Full HD
Asus,VivoBook Flip,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual Core N3350,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,32600.0,1.1GHz,Touchscreen
Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,8GB,1TB HDD,AMD Radeon 530,Windows 10,1.9kg,57700.0,1.6GHz,Full HD
Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7 7700HQ,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,176300.0,2.8GHz,4K Ultra HD / Touchscreen
HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,113400.0,2.7GHz,Full HD
MSI,GP72MVR 7RFX,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7kg,122600.0,2.8GHz,Full HD
HP,Zbook 15,Workstation,15.6,1920x1080,Intel Core i7 7700HQ,8GB,256GB SSD,Nvidia Quadro M1200,Windows 10,2.6kg,151200.0,2.8GHz,Full HD
Toshiba,Tecra A50-C-21G,Notebook,15.6,1920x1080,Intel Core i7 6500U,16GB,512GB SSD,Nvidia GeForce 930M,Windows 10,2.4kg,122100.0,2.5GHz,IPS Panel Full HD
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02kg,84400.0,1.8GHz,Full HD
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,4GB,1TB HDD,Intel HD Graphics 500,No OS,2.2kg,27900.0,1.1GHz,
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.65kg,86900.0,2.5GHz,Full HD
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U,8GB,2TB HDD,Intel HD Graphics 620,Windows 10,2.36kg,48500.0,2.5GHz,Touchscreen
Dell,Latitude 7480,Notebook,14.0,1920x1080,Intel Core i5 7300U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,124100.0,2.6GHz,Full HD
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,1.86kg,38200.0,2GHz,
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,82200.0,2.5GHz,Full HD
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U,6GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,Windows 10,2.8kg,62600.0,2.5GHz,
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,55600.0,2.5GHz,Full HD
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U,8GB,256GB SSD,Nvidia GeForce 920MX ,No OS,2.2kg,43400.0,2GHz,
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N3710,8GB,2TB HDD,Intel HD Graphics 405,Windows 10,2.04kg,33800.0,1.6GHz,
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,94400.0,1.6GHz,Full HD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS,2.4kg,70400.0,2.5GHz,IPS Panel Full HD
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,AMD Radeon R7 M445,Windows 10,2.33kg,78200.0,2.7GHz,Full HD
HP,Elitebook 1040,Ultrabook,14.0,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,152300.0,2.7GHz,IPS Panel Full HD
Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,Intel Core i7 7500U,12GB,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,Windows 10,2.26kg,95600.0,2.7GHz,Full HD / Touchscreen
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9 Series 9420,4GB,128GB SSD,AMD Radeon R5,Windows 10,2.1kg,37100.0,3GHz,
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.25kg,191300.0,3GHz,IPS Panel Full HD
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8 Series 7410,4GB,128GB SSD,AMD Radeon R5,Windows 10,2.6kg,42500.0,2.2GHz,
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,75600.0,1.8GHz,Full HD / Touchscreen
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,1920x1080,AMD A9 Series 9420,4GB,256GB SSD,AMD Radeon R5,Windows 10,1.91kg,42500.0,3GHz,Full HD
Lenovo,Yoga 11e,Netbook,11.6,1366x768,Intel Celeron Quad Core N3450,4GB,128GB SSD,Intel HD Graphics 500,Windows 10,1.59kg,48100.0,1.1GHz,IPS Panel
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,4GB,500GB HDD,Intel HD Graphics 400,Windows 10,1.8kg,26900.0,1.60GHz,
Asus,VivoBook E403NA,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,24900.0,1.1GHz,
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7 7700HQ,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,73600.0,2.8GHz,Full HD
HP,Omen 17-w212nv,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35kg,103600.0,2.8GHz,IPS Panel Full HD
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,128GB SSD,Intel HD Graphics 520,No OS,1.85kg,35100.0,2GHz,Full HD
Asus,ROG Strix,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.3kg,1431000.0,2.8GHz,IPS Panel Full HD
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.5kg,95600.0,2.5GHz,IPS Panel Full HD
Asus,Zenbook Flip,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.1kg,152100.0,2.7GHz,Full HD / Touchscreen
Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,Intel Core i7 7500U,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.13kg,198500.0,2.7GHz,IPS Panel
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,1920x1080,Intel Core i3 7100U,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.5kg,47800.0,2.4GHz,IPS Panel Full HD
Dell,Precision 3510,Workstation,15.6,1920x1080,Intel Core i5 6440HQ,8GB,500GB HDD,AMD FirePro W5130M,Windows 10,2.23kg,119100.0,2.6GHz,Full HD
Dell,Precision 5520,Workstation,15.6,1920x1080,Intel Core i7 6820HQ,8GB,256GB SSD,Nvidia Quadro M1200,Windows 10,2kg,185700.0,2.7GHz,IPS Panel Full HD
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel Core i7 7500U,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.42kg,218300.0,2.7GHz,Touchscreen
Asus,Rog GL753VD-GC042T,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,90400.0,2.8GHz,Full HD
Asus,Rog GL753VE-GC070T,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,3kg,138400.0,2.8GHz,Full HD
Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i5 8250U,12GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,60300.0,1.6GHz,IPS Panel
MSI,Leopard GP72M,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,117400.0,2.8GHz,Full HD
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,AMD Radeon R7 M445,Linux,2.33kg,67700.0,2.7GHz,Full HD
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,1920x1080,AMD A9 Series 9420,4GB,256GB SSD,AMD Radeon 520,Windows 10,1.91kg,43400.0,3GHz,Full HD
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,AMD Radeon RX 550,Windows 10,2.1kg,106900.0,1.8GHz,IPS Panel Full HD
Lenovo,ThinkPad L470,Notebook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg,81600.0,2.5GHz,IPS Panel Full HD
Dell,Precision M5520,Workstation,15.6,3840x2160,Intel Core i7 7700HQ,8GB,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78kg,235900.0,2.8GHz,4K Ultra HD / Touchscreen
Lenovo,Thinkpad X1,Ultrabook,14.0,2560x1440,Intel Core i7 7500U,16GB,1TB SSD,Intel HD Graphics 620,Windows 10,1.13kg,228400.0,2.7GHz,IPS Panel
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,4GB,1TB HDD,Intel HD Graphics 500,Windows 10,2.2kg,26600.0,1.1GHz,
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9kg,133000.0,2.8GHz,Full HD
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i5 8250U,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 550,Windows 10,2.1kg,99500.0,1.6GHz,IPS Panel Full HD
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7 7700HQ,8GB,256GB SSD,Nvidia GeForce GTX 1050,Linux,2.5kg,76500.0,2.8GHz,Full HD
MSI,GE73VR 7RF,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8kg,195700.0,2.8GHz,Full HD
Asus,Zenbook 3,Ultrabook,14.0,1920x1080,Intel Core i7 7500U,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.10kg,1621000.0,2.7GHz,Full HD
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,1920x1080,Intel Core i7 6500U,16GB,512GB SSD,Intel HD Graphics 520,Windows 10,1.2kg,1511000.0,2.5GHz,Full HD
Dell,Latitude 7480,Ultrabook,14.0,1920x1080,Intel Core i7 7600U,8GB,512GB SSD,Intel HD Graphics,Windows 10,1.36kg,146200.0,2.8GHz,Full HD
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.2kg,35600.0,2GHz,Full HD
Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Intel Celeron Dual Core N3350,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.15kg,26400.0,1.1GHz,
Lenovo,ThinkPad P51,Workstation,15.6,1920x1080,Intel Core i7 7700HQ,8GB,512GB SSD,Nvidia Quadro M1200,Windows 10,2.67kg,167500.0,2.8GHz,Full HD
Lenovo,Thinkpad T470p,Ultrabook,14.0,2560x1440,Intel Core i7 7700HQ,8GB,512GB SSD,Nvidia GeForce GT 940MX,Windows 10,1.7kg,169000.0,2.8GHz,IPS Panel Full HD
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,1TB HDD,AMD Radeon 520,Windows 10,2.1kg,40800.0,2GHz,Full HD
Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 6500U,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.6kg,68600.0,2.5GHz,IPS Panel Full HD / Touchscreen
Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.27kg,80700.0,2.5GHz,IPS Panel Full HD / Touchscreen
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U,4GB,256GB SSD,AMD Radeon R5 M430,Linux,2.3kg,52000.0,2.5GHz,Full HD
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.65kg,59900.0,2GHz,
HP,EliteBook 1040,Ultrabook,14.0,1920x1080,Intel Core i7 6500U,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.43kg,130500.0,2.5GHz,Full HD
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.14kg,46900.0,2.5GHz,
Lenovo,ThinkPad E480,Ultrabook,14.0,1920x1080,Intel Core i7 8550U,8GB,256GB SSD,AMD Radeon RX 550,Windows 10,1.75kg,105700.0,1.8GHz,IPS Panel Full HD
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,3840x2160,Intel Core i7 7700HQ,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2kg,165200.0,2.8GHz,IPS Panel 4K Ultra HD / Touchscreen
Chuwi,LapBook 12.3,Notebook,12.3,2736x1824,Intel Celeron Quad Core N3450,6GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.4kg,39100.0,1.1GHz,IPS Panel Retina Display
HP,ProBook 650,Notebook,15.6,1920x1080,Intel Core i7 7820HQ,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,2.31kg,124100.0,2.9GHz,Full HD
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,1920x1080,Intel Core i3 7100U,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg,51900.0,2.4GHz,Full HD
Dell,Alienware 17,Gaming,17.3,2560x1440,Intel Core i7 7820HK,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,243500.0,2.9GHz,IPS Panel
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,100800.0,2.8GHz,IPS Panel Full HD
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02kg,99400.0,1.8GHz,Full HD
Dell,Latitude 5480,Ultrabook,14.0,1920x1080,Intel Core i7 7600U,8GB,256GB SSD,Intel HD Graphics 620,Linux,1.6kg,95600.0,2.8GHz,Full HD
HP,Omen 17-w207nv,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,12GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.35kg,173900.0,2.8GHz,Full HD
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,1920x1080,Intel Celeron Dual Core N3350,4GB,32GB SSD,Intel HD Graphics 500,Windows 10,1.16kg,26000.0,1.1GHz,IPS Panel Full HD / Touchscreen
Samsung,Chromebook 3,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.15kg,23400.0,1.6GHz,
Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.4kg,87900.0,2.7GHz,IPS Panel Full HD
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,1920x1080,Intel Core i3 7130U,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.7kg,52100.0,2.7GHz,IPS Panel Full HD
Lenovo,Thinkpad T570,Workstation,15.6,3840x2160,Intel Core i7 7600U,16GB,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.3kg,212700.0,2.8GHz,IPS Panel 4K Ultra HD
Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel Core i7 7820HQ,16GB,512GB SSD,Nvidia Quadro M2200M,Windows 10,2.5kg,213100.0,2.9GHz,Full HD
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1600,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,147500.0,3.2GHz,Full HD
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,4GB,500GB HDD,Intel HD Graphics 400,Windows 10,2.1kg,30200.0,1.6GHz,
Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,Intel Core i7 7Y75,16GB,512GB SSD,Intel HD Graphics 615,Chrome OS,1.1kg,191300.0,1.3GHz,Touchscreen
Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Intel Core i7 7500U,24GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.32kg,207200.0,2.7GHz,
Asus,VivoBook Max,Notebook,15.6,1920x1080,Intel Core i5 7200U,4GB,256GB SSD,Intel HD Graphics 620,Linux,2kg,48600.0,2.5GHz,Full HD
Lenovo,IdeaPad 320-15AST,Notebook,17.3,1600x900,AMD A6 Series 9220,8GB,1TB HDD,AMD Radeon R4,Windows 10,2.8kg,45200.0,2.5GHz,
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,4GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,65200.0,1.6GHz,Full HD
Lenovo,ThinkPad X270,Ultrabook,12.5,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,124300.0,2.5GHz,IPS Panel Full HD
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1920x1080,Intel Pentium Quad Core N4200,4GB,128GB SSD,Intel HD Graphics 505,Windows 10,2.2kg,30400.0,1.1GHz,Full HD
HP,Omen 15-AX205na,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,95600.0,2.8GHz,IPS Panel Full HD
Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel Core i5 7440HQ,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.64kg,102600.0,2.8GHz,Full HD
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,500GB HDD,Intel HD Graphics 620,Linux,2.4kg,38400.0,2.5GHz,
Dell,Precision 3520,Workstation,15.6,1920x1080,Intel Xeon E3 1505M V6,8GB,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows 10,2.23kg,173400.0,3GHz,Full HD
MSI,GV62 7RD-1686NL,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,89300.0,2.5GHz,Full HD
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i7 7660U,16GB,512GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.25kg,225200.0,2.5GHz,Touchscreen
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U,8GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,51200.0,2.5GHz,
Dell,Precision 3520,Workstation,15.6,1920x1080,Intel Core i7 6820HQ,16GB,256GB SSD,Nvidia Quadro M620,Windows 10,2.17kg,171800.0,2.7GHz,IPS Panel Full HD
HP,ProBook 650,Workstation,15.6,1920x1080,Intel Core i7 7820HQ,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,2.31kg,133500.0,2.9GHz,IPS Panel Full HD
Lenovo,ThinkPad T470,Notebook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.65kg,117000.0,2.5GHz,Full HD
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.36kg,85200.0,1.8GHz,Full HD
Dell,Inspiron 3168,2 in 1 Convertible,11.6,1366x768,Intel Pentium Quad Core N3710,4GB,500GB HDD,Intel HD Graphics 405,Windows 10,1.47kg,41700.0,1.6GHz,Touchscreen
Dell,Alienware 17,Notebook,17.3,1920x1080,Intel Core i7 7700HQ,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42kg,178000.0,2.7GHz,IPS Panel Full HD
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core M m3 7Y30,4GB,128GB SSD,Intel HD Graphics 615,Windows 10,1.252kg,86000.0,2.2GHz,Touchscreen
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i7 7660U,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.25kg,156500.0,2.5GHz,Touchscreen
